time_step,total_population,resource_concentration,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_12_density,genotype_13_density,genotype_14_density,genotype_15_density,genotype_16_density,genotype_17_density,genotype_18_density,genotype_19_density,mutation_frequency,cooperation_index,competition_index,mean_fitness,mean_resistance,mean_efficiency,biofilm_fraction,hgt_events,divisions,deaths,phase_lag,phase_log,phase_stationary,phase_death,mean_antibiotic,mean_biofilm,cumulative_mutations,cumulative_hgt,total_resource_consumed
64,9163,26.636686,0.325876,0.324894,0.346502,0.000327,0.0,0.000327,0.0,0.000218,0.000982,0.000437,0.000109,0.0,0.0,0.000109,0.000109,0.000109,0.0,0.0,0.0,0.0,0.0,0.470882,0.107974,0.599109,0.074764,1.025288,0.950889,0,0,852,3165,0,5998,0,0.003621,0.210229,430,22,458873.7414
65,9701,26.801659,0.325224,0.326564,0.345531,0.000309,0.0,0.000309,0.0,0.000103,0.001031,0.000412,0.000103,0.0,0.0,0.000103,0.000206,0.000103,0.0,0.0,0.0,0.0,0.016038,0.419202,0.109749,0.533533,0.074908,1.026452,0.847026,2,1060,522,3287,763,5651,0,0.005044,0.213895,447,24,470400.5218
66,9849,26.908909,0.322368,0.32318,0.351609,0.000406,0.0,0.000305,0.0,0.000203,0.000914,0.000406,0.000102,0.0,0.0,0.000102,0.000203,0.000203,0.0,0.0,0.0,0.0,0.007067,0.430822,0.111329,0.547721,0.074865,1.025187,0.871662,0,849,701,2817,1808,5224,0,0.006692,0.218501,453,24,485281.4139
67,11450,27.019885,0.322707,0.320262,0.35441,0.000437,0.0,0.000349,0.0,0.000175,0.000961,0.000349,8.7e-05,0.0,0.0,8.7e-05,0.000175,0.0,0.0,0.0,0.0,0.0,0.00537,0.371144,0.112681,0.471998,0.075047,1.02789,0.750655,0,2421,820,5011,1667,4772,0,0.008562,0.2223,466,24,499107.6421
68,9969,27.169252,0.320694,0.3227,0.354098,0.000401,0.0,0.000401,0.0,0.0001,0.001003,0.000401,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.473283,0.11231,0.59967,0.075324,1.027951,0.957167,0,0,1481,3604,784,5581,0,0.010649,0.226437,466,24,511839.3311
69,10343,27.323888,0.322054,0.325921,0.349222,0.000193,0.0,0.000483,0.0,0.000193,0.00116,0.00058,0.000193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00674,0.422524,0.111899,0.530778,0.075411,1.027112,0.853911,0,1187,813,4493,730,5120,0,0.012952,0.229362,474,24,522969.1311
70,9319,27.476582,0.32203,0.323533,0.351754,0.000215,0.0,0.000429,0.0,0.000107,0.00118,0.000644,0.000107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474649,0.110494,0.599098,0.075464,1.027241,0.959974,1,0,1024,3405,657,5257,0,0.015467,0.232456,474,25,534337.1242
71,9720,27.603706,0.320267,0.324074,0.352984,0.000309,0.0,0.000412,0.0,0.000103,0.001235,0.000514,0.000103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004985,0.426378,0.110561,0.537069,0.075681,1.028091,0.863169,0,1003,602,3655,1141,4924,0,0.017943,0.235412,479,25,546523.428
72,10959,27.648568,0.323843,0.32284,0.350671,0.000274,0.0,0.000365,0.0,0.000182,0.001095,0.000456,9.1e-05,9.1e-05,0.0,9.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.012403,0.393118,0.111912,0.493197,0.075556,1.02919,0.795054,0,1935,696,3795,2602,4562,0,0.020383,0.23985,503,25,563507.5198
73,9719,27.813951,0.3203,0.32205,0.354872,0.000309,0.0,0.000206,0.0,0.000206,0.001235,0.000514,0.000103,0.000103,0.0,0.000103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475994,0.110551,0.599278,0.075564,1.029631,0.962959,0,0,1240,3369,0,6350,0,0.022786,0.243475,503,25,574648.116
74,9488,27.941014,0.325569,0.31914,0.352445,0.000316,0.0,0.000316,0.000105,0.000211,0.001054,0.000527,0.0,0.000211,0.0,0.000105,0.0,0.0,0.0,0.0,0.0,0.0,0.007874,0.452071,0.1101,0.567016,0.075374,1.02997,0.915788,0,508,739,2862,767,5859,0,0.025153,0.247111,507,25,587356.1864
